28.5544 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide04.jpg'
30.3765 	DATA 	Keypress: space
30.4709 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide05.jpg'
31.7560 	DATA 	Keypress: space
31.8501 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide06.jpg'
33.9205 	DATA 	Keypress: space
34.0042 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide07.jpg'
36.1916 	DATA 	Keypress: space
36.2708 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide08.jpg'
37.5208 	DATA 	Keypress: 4
37.6042 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide09.jpg'
38.0557 	DATA 	Keypress: 2
38.1376 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide10.jpg'
38.7406 	DATA 	Keypress: 3
38.8208 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide11.jpg'
39.2406 	DATA 	Keypress: 1
39.3208 	EXP 	slides: image = '/Users/ecohodes/sc_magic/media/Mundane_instruction_slides/Egg_mri_instruction_slides/Slide12.jpg'
44.5595 	DATA 	Keypress: 2
44.5875 	EXP 	window1: blendMode = 'avg'
44.6040 	EXP 	slides: autoDraw = False
44.6040 	EXP 	hand: autoDraw = True
44.6040 	EXP 	time_left_label: autoDraw = True
44.6040 	EXP 	time_left_label: text = '20'
44.6091 	EXP 	window1: blendMode = 'avg'
44.6213 	EXP 	window1: blendMode = 'avg'
44.6384 	EXP 	window1: blendMode = 'avg'
44.6552 	EXP 	window1: blendMode = 'avg'
44.6716 	EXP 	window1: blendMode = 'avg'
44.6884 	EXP 	window1: blendMode = 'avg'
44.7049 	EXP 	window1: blendMode = 'avg'
44.7221 	EXP 	window1: blendMode = 'avg'
44.7386 	EXP 	window1: blendMode = 'avg'
44.7553 	EXP 	window1: blendMode = 'avg'
44.7717 	EXP 	window1: blendMode = 'avg'
44.7885 	EXP 	window1: blendMode = 'avg'
44.8054 	EXP 	window1: blendMode = 'avg'
44.8219 	EXP 	window1: blendMode = 'avg'
44.8385 	EXP 	window1: blendMode = 'avg'
44.8552 	EXP 	window1: blendMode = 'avg'
44.8718 	EXP 	window1: blendMode = 'avg'
44.8883 	EXP 	window1: blendMode = 'avg'
44.9053 	EXP 	window1: blendMode = 'avg'
44.9219 	EXP 	window1: blendMode = 'avg'
44.9384 	EXP 	window1: blendMode = 'avg'
44.9552 	EXP 	window1: blendMode = 'avg'
44.9718 	EXP 	window1: blendMode = 'avg'
44.9884 	EXP 	window1: blendMode = 'avg'
45.0052 	EXP 	window1: blendMode = 'avg'
