Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
  1	 1	3.0425	0.9256	0.0179	3.5743	2.9807	23.3962	 1	2.4225	2.3950	23.8098	1.0965	  4	"4"
  2	 2	0.7205	2.8525	0.0499	9.9721	4.2447	23.4992	 0	   NaN	0.0000	24.8753	2.2985	  6	"6"
  3	 1	3.2295	0.4335	0.0105	2.0924	2.1058	24.0550	 2	2.8095	1.1074	24.4992	0.5365	  4	"4"
  4	 4	0.8885	1.6642	0.0261	5.2275	2.4962	24.0871	 2	1.7285	0.7618	24.9129	1.1466	  6	"6"
  5	 1	2.8955	1.3433	0.0335	6.7046	3.1173	24.1066	 1	2.5155	0.5966	25.4792	0.7531	  4	"4"
  6	 2	0.5725	1.3906	0.0230	4.5945	3.1173	24.0784	 0	   NaN	0.0000	25.5648	0.5108	  6	"6"
  7	 2	2.5215	1.1769	0.0233	4.6510	2.3574	23.9984	 1	2.2415	0.3006	25.3701	0.3006	  4	"4"
  8	 2	1.9575	0.6157	0.0164	3.2741	1.8119	24.0018	 0	   NaN	0.0000	25.2341	0.0960	  6	"6"
  9	 1	3.1445	0.6925	0.0135	2.6910	1.8605	23.9021	 1	2.6045	0.5986	24.1894	0.6590	  4	"4"
 10	 1	2.5595	0.6925	0.0135	2.7082	1.8605	23.8947	 1	2.0195	0.5986	24.2793	0.5986	  7	"7"
 11	 1	2.2465	1.2544	0.0265	5.3080	2.4229	23.7347	 1	0.6465	1.0752	24.5057	1.0752	  4	"4"
 12	 2	1.0445	1.3010	0.0230	4.5965	2.4229	23.7144	 0	   NaN	0.0000	24.7222	0.9039	  7	"7"
 13	 1	3.4135	0.9939	0.0150	3.0079	2.1714	23.3255	 1	2.7535	0.9717	23.5339	0.8693	  4	"4"
 14	 1	1.0905	0.9939	0.0215	4.2989	2.1714	23.3051	 0	   NaN	0.0000	24.0321	0.9614	  6	"6"
 15	 1	3.4165	0.1577	0.0021	0.4277	0.4268	23.2204	 1	2.8965	0.0853	23.2846	0.0949	  4	"4"
 16	 2	2.8465	0.2217	0.0029	0.5840	0.4268	23.1975	 1	2.3265	0.0853	23.2715	0.0959	  7	"7"
 17	 1	3.5145	0.7018	0.0109	2.1701	1.5772	22.8384	 1	2.5745	0.6954	22.9908	0.6322	  4	"4"
 18	 1	2.2525	0.7018	0.0142	2.8370	1.5772	22.8319	 1	1.3125	0.6954	23.1891	0.6954	  7	"7"
 19	 1	3.2675	1.3654	0.0278	5.5541	3.0297	22.8799	 1	2.7075	0.9518	23.8175	0.9220	  4	"4"
 20	 1	1.9315	1.3654	0.0287	5.7307	3.0297	22.9004	 1	1.3715	0.9518	24.0728	0.9518	  7	"7"
 21	 3	2.9235	1.7454	0.0196	3.9216	2.1343	23.0095	 1	2.0835	1.3320	23.3008	1.0550	  4	"4"
 22	 3	0.5895	1.7454	0.0277	5.5342	2.1343	22.9973	 0	   NaN	0.0000	24.0074	1.1405	  6	"6"
 23	 2	2.7095	1.5107	0.0242	4.8434	2.6295	23.0096	 1	1.5495	1.2456	23.5386	1.2574	  4	"4"
 24	 2	2.1965	1.5107	0.0259	5.1874	2.6295	23.0161	 1	1.0365	1.2456	23.6962	1.2574	  5	"5"
 25	 2	2.0485	1.5107	0.0262	5.2343	2.6295	23.0178	 1	0.8885	1.2456	23.7370	1.2560	  7	"7"
 26	 2	1.1225	1.6802	0.0294	5.8801	2.4358	23.2831	 0	   NaN	0.0000	24.1432	1.2310	  4	"4"
 27	 2	0.5705	1.6802	0.0270	5.3933	2.4358	23.2920	 0	   NaN	0.0000	24.2935	1.0584	  7	"7"
 28	 1	3.1655	1.4165	0.0263	5.2606	3.2413	23.3478	 1	2.5255	1.2336	23.9584	1.2781	  4	"4"
 29	 1	2.1795	1.4165	0.0289	5.7869	3.2413	23.3572	 1	1.5395	1.2336	24.2580	1.2336	  7	"7"
 30	 1	2.8315	1.2828	0.0249	4.9825	3.0444	23.7470	 1	2.1115	1.6745	24.2037	1.4005	  4	"4"
 31	 2	0.8905	2.2183	0.0369	7.3795	3.0444	23.7725	 0	   NaN	0.0000	24.9522	1.6060	  5	"5"
 32	 1	2.4525	0.9355	0.0322	6.4427	3.0399	23.7769	 0	   NaN	0.0000	25.0789	1.3167	  6	"6"
 33	 1	3.3945	1.3439	0.0200	3.9977	2.5692	23.6849	 1	2.5345	1.3520	23.9550	1.1548	  4	"4"
 34	 2	1.0545	1.4692	0.0286	5.7238	2.5692	23.6849	 0	   NaN	0.0000	24.6750	1.3042	  6	"6"
 35	 3	1.1175	3.2191	0.0446	8.9257	3.3970	23.7867	 0	   NaN	0.0000	25.0044	1.8660	  4	"4"
 36	 4	1.1775	1.9202	0.0274	5.4870	2.3501	23.8429	 0	   NaN	0.0000	25.5120	0.4299	  6	"6"
 37	 2	2.7615	0.9424	0.0186	3.7292	2.3951	23.9116	 2	2.1015	1.5957	24.2241	0.9766	  4	"4"
 38	 2	1.1575	1.5156	0.0301	6.0213	2.7929	23.9191	 1	0.9175	1.0501	25.0216	1.3321	  6	"6"
 39	 1	2.8255	0.3298	0.0055	1.1076	0.9919	23.9978	 1	2.5055	0.3051	24.1589	0.3051	  4	"4"
 40	 2	2.4255	0.3609	0.0060	1.2064	0.9919	23.9948	 1	2.1055	0.3051	24.1760	0.3051	  7	"7"
 41	 3	0.8495	1.5042	0.0230	4.6036	2.3515	23.7849	 1	1.9495	1.1360	24.2435	1.2190	  4	"4"
 42	 3	2.3805	1.6333	0.0251	5.0157	2.3515	23.7913	 1	1.3605	1.1360	24.4186	1.1768	  5	"5"
 43	 4	1.4305	1.6722	0.0256	5.1223	2.3515	23.8005	 0	   NaN	0.0000	24.6694	1.1363	  7	"7"
 44	 3	1.2755	1.7850	0.0309	6.1828	2.7117	23.7489	 0	   NaN	0.0000	24.9388	0.9522	  4	"4"
 45	 3	0.7745	1.7850	0.0290	5.8047	2.7117	23.7470	 0	   NaN	0.0000	25.0229	0.7406	  7	"7"
 46	 3	3.1385	2.0493	0.0214	4.2715	2.3835	23.7546	 1	2.2385	1.4910	24.0522	1.1820	  4	"4"
 47	 4	0.7785	2.1146	0.0303	6.0547	2.3835	23.7549	 0	   NaN	0.0000	24.8476	1.3411	  6	"6"
 48	 2	3.0215	0.3708	0.0054	1.0871	0.8127	23.7804	 2	2.3415	0.3187	23.8843	0.3133	  4	"4"
 49	 3	1.9505	0.4180	0.0064	1.2873	0.8127	23.7648	 2	1.2705	0.3187	23.9436	0.3133	  7	"7"
 50	 2	1.6275	1.1151	0.0222	4.4312	2.2997	23.7128	 1	2.4075	0.9493	24.3596	0.8415	  4	"4"
 51	 3	0.6865	1.6815	0.0236	4.7121	2.2997	23.7386	 0	   NaN	0.0000	24.8247	0.8282	  6	"6"
 52	 1	3.5695	1.1011	0.0169	3.3810	2.5682	23.7020	 1	2.5295	1.0877	23.9297	0.9880	  4	"4"
 53	 2	1.7645	1.1450	0.0231	4.6297	2.5682	23.6962	 1	0.7245	1.0877	24.3818	1.0880	  7	"7"
 54	 1	2.8155	0.8294	0.0169	3.3861	2.1164	23.8539	 1	2.1555	1.2952	24.1863	0.8925	  4	"4"
 55	 2	0.5425	1.7202	0.0271	5.4150	2.2520	23.8831	 0	   NaN	0.0000	24.8357	1.1555	  5	"5"
 56	 1	2.4945	0.8908	0.0263	5.2599	2.2520	23.8841	 0	   NaN	0.0000	24.8555	1.1009	  6	"6"
 57	 2	1.4985	0.6451	0.0103	2.0696	1.2326	23.9151	 2	0.9585	0.4110	24.1608	0.3833	  4	"4"
 58	 2	2.5985	0.6205	0.0111	2.2245	1.2326	23.9008	 1	2.1785	0.3194	24.2695	0.3709	  7	"7"
 59	 2	2.9605	0.4211	0.0085	1.6902	1.1102	23.7911	 1	2.2805	0.6969	23.9124	0.4670	  4	"4"
 60	 5	0.6215	1.1007	0.0156	3.1103	1.1928	23.7895	 0	   NaN	0.0000	24.2738	0.6639	  6	"6"
 61	 1	3.3235	0.9156	0.0182	3.6399	2.1489	23.8656	 2	1.0035	1.2402	24.1433	1.0528	  4	"4"
 62	 2	0.9655	1.5567	0.0247	4.9438	2.1489	23.8981	 0	   NaN	0.0000	24.8014	1.1121	  6	"6"
 63	 0	   NaN	0.0000	0.0098	1.9595	1.8227	23.8264	 1	2.9075	0.9649	23.9189	0.5222	  4	"4"
 64	 2	2.1665	1.1098	0.0215	4.2908	1.8236	23.8006	 1	0.5665	0.9649	24.4046	0.9650	  6	"6"
