1	66310.614986
2	66311.416107
3	66312.215238
4	66313.012790
5	66313.813669
6	66314.613783
7	66315.412860
8	66316.214567
9	66317.013340
10	66317.814694
11	66318.614520
12	66319.413967
13	66320.212310
14	66321.014056
15	66321.812356
16	66322.613292
17	66323.413744
18	66324.211970
19	66325.014951
20	66325.812964
21	66326.610651
22	66327.412593
23	66328.212254
24	66329.011635
25	66329.812805
26	66330.612210
27	66331.406487
28	66332.206436
29	66333.006473
30	66333.806374
31	66334.606431
32	66335.406576
33	66336.206601
34	66337.006826
35	66337.809564
36	66338.606551
37	66339.406492
38	66340.206533
39	66341.006574
40	66341.806521
41	66342.606554
42	66343.406513
43	66344.206481
44	66345.006579
45	66345.806497
46	66346.606502
47	66347.406483
48	66348.206452
49	66349.006433
50	66349.806413
51	66350.606459
52	66351.406951
53	66352.206412
54	66353.006382
55	66353.806446
56	66354.606452
57	66355.406366
58	66356.206380
59	66357.006666
60	66357.806318
61	66358.606357
62	66359.406373
63	66360.206277
64	66361.006285
65	66361.806271
66	66362.606276
67	66363.406250
68	66364.206237
69	66365.006228
70	66365.806242
71	66366.606233
72	66367.406302
73	66368.206231
74	66369.006218
75	66369.806187
76	66370.606184
77	66371.406211
78	66372.206169
79	66373.006194
80	66373.806100
81	66374.606155
82	66375.406080
83	66376.201540
84	66377.006278
85	66377.806092
86	66378.606029
87	66379.406054
88	66380.206046
89	66381.006048
90	66381.806006
91	66382.605992
92	66383.406041
93	66384.205979
94	66385.005952
95	66385.805967
96	66386.605973
97	66387.400279
98	66388.205985
99	66389.000069
100	66389.816691
101	66390.605957
102	66391.405936
103	66392.205893
104	66393.016547
105	66393.805872
106	66394.621134
107	66395.405858
108	66396.205835
109	66397.006302
110	66397.805791
111	66398.605776
112	66399.405834
113	66400.205745
114	66400.998731
115	66401.805745
116	66402.605746
117	66403.405694
118	66404.205880
119	66405.005684
120	66405.805679
121	66406.605751
122	66407.405652
123	66408.214644
124	66408.997851
125	66409.789145
126	66410.597749
127	66411.397570
128	66412.214308
129	66413.014310
130	66413.797328
131	66414.597199
132	66415.397203
133	66416.197069
134	66416.996937
135	66417.796900
136	66418.596788
137	66419.396667
138	66420.196621
139	66421.005472
140	66421.805833
141	66422.605466
142	66423.396280
143	66424.205435
144	66424.996042
145	66425.795988
146	66426.605433
147	66427.405475
148	66428.195838
149	66428.995623
150	66429.795574
151	66430.595429
152	66431.395393
153	66432.195284
154	66432.995148
155	66433.795108
156	66434.594998
157	66435.395652
158	66436.194823
159	66436.994724
160	66437.794642
161	66438.594556
162	66439.394460
163	66440.194385
164	66440.994293
165	66441.797880
166	66442.605202
167	66443.394048
168	66444.205164
